DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201212836,05/15/2020 12:00:00 AM,05/15/2020 12:00:00 AM,0540,12,77th Street,1268,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822 1309 0216,25,F,B,301,GAS STATION,,,IC,Invest Cont,420,,,,200 E  MANCHESTER                   AV,,33.964,-118.2739
200917497,11/20/2020 12:00:00 AM,11/20/2020 12:00:00 AM,1130,09,Van Nuys,0966,2,624,BATTERY - SIMPLE ASSAULT,0446 0416,33,F,W,220,NAIL SALON,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,13300    RIVERSIDE                    DR,,34.1576,-118.4231
201011914,08/10/2020 12:00:00 AM,08/02/2020 12:00:00 AM,1005,10,West Valley,1001,1,330,BURGLARY FROM VEHICLE,1822 0344 1300,0,M,W,101,STREET,,,IC,Invest Cont,330,,,,7900    BOTHWELL                     RD,,34.2141,-118.5612
200613614,08/06/2020 12:00:00 AM,08/06/2020 12:00:00 AM,2300,06,Hollywood,0647,2,624,BATTERY - SIMPLE ASSAULT,0416 0444,19,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1500    VINE                         ST,,34.098,-118.3266
200307284,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1200,03,Southwest,0393,1,121,"RAPE, FORCIBLE",0522 0527 1814 2000 1415 1409 0913,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,4200    DEGNAN                       BL,,34.008,-118.3314
200315866,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,1310,03,Southwest,0362,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,30,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,4800 W  MARTIN LUTHER KING JR        BL,,34.017,-118.3477
200516175,11/04/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1300,05,Harbor,0509,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,24900    FRAMPTON                     AV,,33.7983,-118.2992
200408306,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,1650,04,Hollenbeck,0488,2,624,BATTERY - SIMPLE ASSAULT,0446,43,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,8TH                          ST,CONCORD,34.0226,-118.207
200517231,11/29/2020 12:00:00 AM,11/29/2020 12:00:00 AM,1900,05,Harbor,0506,2,624,BATTERY - SIMPLE ASSAULT,1802 0913 0319 0416 1309,41,M,H,301,GAS STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,CARSON,HARVARD,33.8315,-118.3065
200205286,01/27/2020 12:00:00 AM,01/26/2020 12:00:00 AM,2000,02,Rampart,0241,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400 S  OCCIDENTAL                   BL,,34.0665,-118.2828
201012938,09/10/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1800,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,7000    WOODLEY                      AV,,34.1975,-118.4837
200614026,08/16/2020 12:00:00 AM,08/16/2020 12:00:00 AM,0040,06,Hollywood,0645,1,310,BURGLARY,1822 0329 0321 1601 0344 0325,0,X,X,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,310,,,,7000    HOLLYWOOD                    BL,,34.1015,-118.3425
